date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board
2026-08-18,NYY@BAL,NYY,2.5,Over,0.735,0.717,0.018,-333,williamhill_us,1,4.63,Expected Lineup,824803,0.3003,-0.0443,False
2026-08-18,NYY@BAL,NYY,2.5,Under,0.265,0.283,-0.018,230,williamhill_us,1,4.63,Expected Lineup,824803,2.3,-0.1255,False
2026-08-18,NYY@BAL,NYY,3.5,Over,0.596,0.601,-0.005,-175,williamhill_us,1,4.63,Expected Lineup,824803,0.5714,-0.0634,False
2026-08-18,NYY@BAL,NYY,3.5,Under,0.404,0.399,0.005,137,williamhill_us,1,4.63,Expected Lineup,824803,1.37,-0.0425,False
2026-08-18,NYY@BAL,NYY,4.5,Over,0.462,0.469,-0.008,104,betrivers,5,4.63,Expected Lineup,824803,1.04,-0.0575,False
2026-08-18,NYY@BAL,NYY,4.5,Under,0.538,0.531,0.008,-130,fanduel,5,4.63,Expected Lineup,824803,0.7692,-0.0482,False
2026-08-18,NYY@BAL,NYY,5.5,Over,0.341,0.366,-0.025,160,williamhill_us,1,4.63,Expected Lineup,824803,1.6,-0.1134,False
2026-08-18,NYY@BAL,NYY,5.5,Under,0.659,0.634,0.025,-200,williamhill_us,1,4.63,Expected Lineup,824803,0.5,-0.0115,False
2026-08-18,NYY@BAL,NYY,6.5,Over,0.242,0.274,-0.032,240,williamhill_us,1,4.63,Expected Lineup,824803,2.4,-0.1772,False
2026-08-18,NYY@BAL,NYY,6.5,Under,0.758,0.726,0.032,-350,williamhill_us,1,4.63,Expected Lineup,824803,0.2857,-0.0254,False
2026-08-18,NYY@BAL,NYY,7.5,Over,0.166,0.208,-0.042,350,williamhill_us,1,4.63,Expected Lineup,824803,3.5,-0.253,False
2026-08-18,NYY@BAL,NYY,7.5,Under,0.834,0.792,0.042,-550,williamhill_us,1,4.63,Expected Lineup,824803,0.1818,-0.0144,False
2026-08-18,NYY@BAL,NYY,8.5,Over,0.107,0.155,-0.048,500,williamhill_us,1,4.63,Expected Lineup,824803,5.0,-0.358,False
2026-08-18,NYY@BAL,NYY,8.5,Under,0.893,0.845,0.048,-1000,williamhill_us,1,4.63,Expected Lineup,824803,0.1,-0.0177,False
2026-08-18,NYY@BAL,BAL,2.5,Over,0.613,0.688,-0.075,-275,williamhill_us,1,3.64,Expected Lineup,824803,0.3636,-0.1641,False
2026-08-18,NYY@BAL,BAL,2.5,Under,0.387,0.312,0.075,200,williamhill_us,1,3.64,Expected Lineup,824803,2.0,0.161,False
2026-08-18,NYY@BAL,BAL,3.5,Over,0.459,0.556,-0.097,-142,fanduel,5,3.64,Expected Lineup,824803,0.7042,-0.2178,False
2026-08-18,NYY@BAL,BAL,3.5,Under,0.541,0.444,0.097,115,betrivers,5,3.64,Expected Lineup,824803,1.15,0.1632,True
2026-08-18,NYY@BAL,BAL,4.5,Over,0.326,0.418,-0.092,125,williamhill_us,1,3.64,Expected Lineup,824803,1.25,-0.2665,False
2026-08-18,NYY@BAL,BAL,4.5,Under,0.674,0.582,0.092,-162,williamhill_us,1,3.64,Expected Lineup,824803,0.6173,0.09,False
2026-08-18,NYY@BAL,BAL,5.5,Over,0.216,0.303,-0.088,210,williamhill_us,1,3.64,Expected Lineup,824803,2.1,-0.3304,False
2026-08-18,NYY@BAL,BAL,5.5,Under,0.784,0.697,0.088,-286,williamhill_us,1,3.64,Expected Lineup,824803,0.3497,0.0581,False
2026-08-18,NYY@BAL,BAL,6.5,Over,0.135,0.217,-0.082,333,williamhill_us,1,3.64,Expected Lineup,824803,3.33,-0.4154,False
2026-08-18,NYY@BAL,BAL,6.5,Under,0.865,0.783,0.082,-500,williamhill_us,1,3.64,Expected Lineup,824803,0.2,0.038,False
2026-08-18,NYY@BAL,BAL,7.5,Over,0.085,0.156,-0.071,500,williamhill_us,1,3.64,Expected Lineup,824803,5.0,-0.49,False
2026-08-18,NYY@BAL,BAL,7.5,Under,0.915,0.844,0.071,-900,williamhill_us,1,3.64,Expected Lineup,824803,0.1111,0.0167,False
2026-08-18,NYY@BAL,BAL,8.5,Over,0.052,0.116,-0.064,700,williamhill_us,1,3.64,Expected Lineup,824803,7.0,-0.584,False
2026-08-18,NYY@BAL,BAL,8.5,Under,0.948,0.884,0.064,-2000,williamhill_us,1,3.64,Expected Lineup,824803,0.05,-0.0046,False
2026-08-18,DET@PIT,DET,2.5,Over,0.711,0.637,0.074,-200,betrivers,2,4.46,Expected Lineup,823341,0.5,0.0665,False
2026-08-18,DET@PIT,DET,2.5,Under,0.289,0.363,-0.074,162,williamhill_us,2,4.46,Expected Lineup,823341,1.62,-0.2428,False
2026-08-18,DET@PIT,DET,3.5,Over,0.575,0.508,0.067,-110,betrivers,5,4.46,Expected Lineup,823341,0.9091,0.0977,True
2026-08-18,DET@PIT,DET,3.5,Under,0.425,0.492,-0.067,-110,betmgm,5,4.46,Expected Lineup,823341,0.9091,-0.1886,False
2026-08-18,DET@PIT,DET,4.5,Over,0.441,0.38,0.061,150,betrivers,2,4.46,Expected Lineup,823341,1.5,0.1025,False
2026-08-18,DET@PIT,DET,4.5,Under,0.559,0.62,-0.061,-187,williamhill_us,2,4.46,Expected Lineup,823341,0.5348,-0.1421,False
2026-08-18,DET@PIT,DET,5.5,Over,0.323,0.286,0.037,225,williamhill_us,1,4.46,Expected Lineup,823341,2.25,0.0497,False
2026-08-18,DET@PIT,DET,5.5,Under,0.677,0.714,-0.037,-333,williamhill_us,1,4.46,Expected Lineup,823341,0.3003,-0.1197,False
2026-08-18,DET@PIT,DET,6.5,Over,0.224,0.204,0.02,360,williamhill_us,1,4.46,Expected Lineup,823341,3.6,0.0304,False
2026-08-18,DET@PIT,DET,6.5,Under,0.776,0.796,-0.02,-550,williamhill_us,1,4.46,Expected Lineup,823341,0.1818,-0.0829,False
2026-08-18,DET@PIT,DET,7.5,Over,0.151,0.145,0.007,550,williamhill_us,1,4.46,Expected Lineup,823341,5.5,-0.0185,False
2026-08-18,DET@PIT,DET,7.5,Under,0.849,0.855,-0.007,-1000,williamhill_us,1,4.46,Expected Lineup,823341,0.1,-0.0661,False
2026-08-18,DET@PIT,DET,8.5,Over,0.098,0.11,-0.012,750,williamhill_us,1,4.46,Expected Lineup,823341,7.5,-0.167,False
2026-08-18,DET@PIT,DET,8.5,Under,0.902,0.89,0.012,-2000,williamhill_us,1,4.46,Expected Lineup,823341,0.05,-0.0529,False
2026-08-18,DET@PIT,PIT,2.5,Over,0.647,0.699,-0.053,-300,williamhill_us,1,3.81,Expected Lineup,823341,0.3333,-0.1373,False
2026-08-18,DET@PIT,PIT,2.5,Under,0.353,0.301,0.053,210,williamhill_us,1,3.81,Expected Lineup,823341,2.1,0.0943,False
2026-08-18,DET@PIT,PIT,3.5,Over,0.489,0.574,-0.085,-154,williamhill_us,2,3.81,Expected Lineup,823341,0.6494,-0.1935,False
2026-08-18,DET@PIT,PIT,3.5,Under,0.511,0.426,0.085,123,betrivers,2,3.81,Expected Lineup,823341,1.23,0.1395,False
