date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board
2026-08-22,TOR@NYY,TOR,2.5,Over,0.652,0.595,0.057,-167,betrivers,1,3.93,CONF (statsapi),823509,0.5988,0.0424,False
2026-08-22,TOR@NYY,TOR,2.5,Under,0.348,0.405,-0.057,135,betrivers,1,3.93,CONF (statsapi),823509,1.35,-0.1822,False
2026-08-22,TOR@NYY,TOR,3.5,Over,0.501,0.454,0.047,112,fanduel,4,3.93,CONF (statsapi),823509,1.12,0.0621,True
2026-08-22,TOR@NYY,TOR,3.5,Under,0.499,0.546,-0.047,-135,draftkings,4,3.93,CONF (statsapi),823509,0.7407,-0.1314,False
2026-08-22,TOR@NYY,TOR,4.5,Over,0.363,0.328,0.035,188,betrivers,1,3.93,CONF (statsapi),823509,1.88,0.0454,False
2026-08-22,TOR@NYY,TOR,4.5,Under,0.637,0.672,-0.035,-245,betrivers,1,3.93,CONF (statsapi),823509,0.4082,-0.103,False
2026-08-22,TOR@NYY,NYY,2.5,Over,0.57,0.583,-0.013,-160,fanduel,2,3.3,CONF (statsapi),823509,0.625,-0.0738,False
2026-08-22,TOR@NYY,NYY,2.5,Under,0.43,0.417,0.013,130,betrivers,2,3.3,CONF (statsapi),823509,1.3,-0.011,False
2026-08-22,TOR@NYY,NYY,3.5,Over,0.406,0.428,-0.023,123,betrivers,3,3.3,CONF (statsapi),823509,1.23,-0.0946,False
2026-08-22,TOR@NYY,NYY,3.5,Under,0.595,0.572,0.023,-152,betrivers,3,3.3,CONF (statsapi),823509,0.6579,-0.0136,False
2026-08-22,TOR@NYY,NYY,4.5,Over,0.272,0.297,-0.024,220,betrivers,1,3.3,CONF (statsapi),823509,2.2,-0.1296,False
2026-08-22,TOR@NYY,NYY,4.5,Under,0.728,0.703,0.024,-286,betrivers,1,3.3,CONF (statsapi),823509,0.3497,-0.0175,False
2026-08-22,ATL@MIL,ATL,2.5,Over,0.646,0.617,0.029,-180,betrivers,2,3.86,CONF (statsapi),823743,0.5556,0.0049,False
2026-08-22,ATL@MIL,ATL,2.5,Under,0.354,0.383,-0.029,150,williamhill_us,2,3.86,CONF (statsapi),823743,1.5,-0.115,False
2026-08-22,ATL@MIL,ATL,3.5,Over,0.492,0.476,0.015,107,betrivers,5,3.86,CONF (statsapi),823743,1.07,0.0184,False
2026-08-22,ATL@MIL,ATL,3.5,Under,0.508,0.524,-0.015,-120,williamhill_us,5,3.86,CONF (statsapi),823743,0.8333,-0.0687,False
2026-08-22,ATL@MIL,ATL,4.5,Over,0.355,0.348,0.007,188,betrivers,2,3.86,CONF (statsapi),823743,1.88,0.0224,False
2026-08-22,ATL@MIL,ATL,4.5,Under,0.645,0.652,-0.007,-200,williamhill_us,2,3.86,CONF (statsapi),823743,0.5,-0.0325,False
2026-08-22,ATL@MIL,ATL,5.5,Over,0.242,0.274,-0.033,240,williamhill_us,1,3.86,CONF (statsapi),823743,2.4,-0.1772,False
2026-08-22,ATL@MIL,ATL,5.5,Under,0.758,0.726,0.033,-350,williamhill_us,1,3.86,CONF (statsapi),823743,0.2857,-0.0254,False
2026-08-22,ATL@MIL,ATL,6.5,Over,0.163,0.197,-0.034,375,williamhill_us,1,3.86,CONF (statsapi),823743,3.75,-0.2258,False
2026-08-22,ATL@MIL,ATL,6.5,Under,0.837,0.803,0.034,-600,williamhill_us,1,3.86,CONF (statsapi),823743,0.1667,-0.0235,False
2026-08-22,ATL@MIL,ATL,7.5,Over,0.102,0.134,-0.032,600,williamhill_us,1,3.86,CONF (statsapi),823743,6.0,-0.286,False
2026-08-22,ATL@MIL,ATL,7.5,Under,0.898,0.866,0.032,-1200,williamhill_us,1,3.86,CONF (statsapi),823743,0.0833,-0.0272,False
2026-08-22,ATL@MIL,ATL,8.5,Over,0.061,0.104,-0.042,800,williamhill_us,1,3.86,CONF (statsapi),823743,8.0,-0.451,False
2026-08-22,ATL@MIL,ATL,8.5,Under,0.939,0.896,0.042,-2500,williamhill_us,1,3.86,CONF (statsapi),823743,0.04,-0.0234,False
2026-08-22,ATL@MIL,MIL,2.5,Over,0.707,0.723,-0.017,-333,williamhill_us,1,4.29,CONF (statsapi),823743,0.3003,-0.0807,False
2026-08-22,ATL@MIL,MIL,2.5,Under,0.293,0.277,0.017,240,williamhill_us,1,4.29,CONF (statsapi),823743,2.4,-0.0038,False
2026-08-22,ATL@MIL,MIL,3.5,Over,0.559,0.587,-0.028,-159,betrivers,2,4.29,CONF (statsapi),823743,0.6289,-0.0894,False
2026-08-22,ATL@MIL,MIL,3.5,Under,0.441,0.413,0.028,130,williamhill_us,2,4.29,CONF (statsapi),823743,1.3,0.0143,False
2026-08-22,ATL@MIL,MIL,4.5,Over,0.413,0.454,-0.041,112,betrivers,5,4.29,CONF (statsapi),823743,1.12,-0.1244,False
2026-08-22,ATL@MIL,MIL,4.5,Under,0.587,0.546,0.041,-130,draftkings,5,4.29,CONF (statsapi),823743,0.7692,0.0385,True
2026-08-22,ATL@MIL,MIL,5.5,Over,0.291,0.341,-0.05,185,betrivers,2,4.29,CONF (statsapi),823743,1.85,-0.1707,False
2026-08-22,ATL@MIL,MIL,5.5,Under,0.709,0.659,0.05,-225,williamhill_us,2,4.29,CONF (statsapi),823743,0.4444,0.0241,False
2026-08-22,ATL@MIL,MIL,6.5,Over,0.196,0.253,-0.056,270,williamhill_us,1,4.29,CONF (statsapi),823743,2.7,-0.2748,False
